exit_code: 0

stdout:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S     4월05   0:01 [kthreadd]
root           3  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [pool_w
root           4  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root           5  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root           6  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root           7  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root           9  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          11  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          13  0.0  0.0      0     0 ?        I     4월05   0:00  \_ [rcu_ta
root          14  0.0  0.0      0     0 ?        I     4월05   0:00  \_ [rcu_ta
root          15  0.0  0.0      0     0 ?        I     4월05   0:00  \_ [rcu_ta
root          16  0.0  0.0      0     0 ?        S     4월05   1:31  \_ [ksofti
root          17  0.0  0.0      0     0 ?        I     4월05  19:54  \_ [rcu_pr
root          18  0.0  0.0      0     0 ?        S     4월05   0:46  \_ [rcu_ex
root          19  0.0  0.0      0     0 ?        S     4월05   1:08  \_ [rcu_ex
root          20  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          22  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          23  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          24  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          25  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          26  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root          27  0.0  0.0      0     0 ?        S     4월05   0:10  \_ [ksofti
root          29  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          30  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          31  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          32  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          33  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [ksofti
root          35  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          36  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          37  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          38  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          39  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root          41  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          42  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          43  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          44  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          45  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root          47  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          48  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          49  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          50  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          51  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          53  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          54  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          55  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          56  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          57  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          59  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          60  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          61  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          62  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          63  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          65  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          66  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          67  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          68  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          69  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          71  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          72  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          73  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          74  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          75  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          77  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          78  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          79  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          80  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root          81  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root          83  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          84  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          85  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          86  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          87  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          89  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          90  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          91  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          92  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          93  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root          95  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root          96  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root          97  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root          98  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root          99  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         101  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
