exit_code: 0

stdout:
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 17:04 ?        00:00:01 /usr/lib/systemd/systemd rhg
root           2       0  0 17:04 ?        00:00:00 [kthreadd]
root           3       2  0 17:04 ?        00:00:00 [pool_workqueue_]
root           4       2  0 17:04 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 17:04 ?        00:00:00 [kworker/R-sync_]
root           6       2  0 17:04 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 17:04 ?        00:00:00 [kworker/R-netns]
root           9       2  0 17:04 ?        00:00:00 [kworker/0:0H-events_highpri
root          11       2  0 17:04 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 17:04 ?        00:00:00 [rcu_tasks_kthre]
root          14       2  0 17:04 ?        00:00:00 [rcu_tasks_rude_]
root          15       2  0 17:04 ?        00:00:00 [rcu_tasks_trace]
root          16       2  0 17:04 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 17:04 ?        00:00:00 [rcu_preempt]
root          18       2  0 17:04 ?        00:00:00 [rcu_exp_par_gp_]
root          19       2  0 17:04 ?        00:00:00 [rcu_exp_gp_kthr]
root          20       2  0 17:04 ?        00:00:00 [migration/0]
root          21       2  0 17:04 ?        00:00:00 [idle_inject/0]
root          22       2  0 17:04 ?        00:00:00 [kworker/0:1-events]
root          23       2  0 17:04 ?        00:00:00 [cpuhp/0]
root          24       2  0 17:04 ?        00:00:00 [cpuhp/2]
root          25       2  0 17:04 ?        00:00:00 [idle_inject/2]
root          26       2  0 17:04 ?        00:00:00 [migration/2]
root          27       2  0 17:04 ?        00:00:00 [ksoftirqd/2]
root          29       2  0 17:04 ?        00:00:00 [kworker/2:0H-events_highpri
root          30       2  0 17:04 ?        00:00:00 [cpuhp/4]
root          31       2  0 17:04 ?        00:00:00 [idle_inject/4]
root          32       2  0 17:04 ?        00:00:00 [migration/4]
root          33       2  0 17:04 ?        00:00:00 [ksoftirqd/4]
root          35       2  0 17:04 ?        00:00:00 [kworker/4:0H-events_highpri
root          36       2  0 17:04 ?        00:00:00 [cpuhp/6]
root          37       2  0 17:04 ?        00:00:00 [idle_inject/6]
root          38       2  0 17:04 ?        00:00:00 [migration/6]
root          39       2  0 17:04 ?        00:00:00 [ksoftirqd/6]
root          40       2  0 17:04 ?        00:00:00 [kworker/6:0-mm_percpu_wq]
root          41       2  0 17:04 ?        00:00:00 [kworker/6:0H-events_highpri
root          42       2  0 17:04 ?        00:00:00 [cpuhp/8]
root          43       2  0 17:04 ?        00:00:00 [idle_inject/8]
root          44       2  0 17:04 ?        00:00:00 [migration/8]
root          45       2  0 17:04 ?        00:00:00 [ksoftirqd/8]
root          47       2  0 17:04 ?        00:00:00 [kworker/8:0H-events_highpri
root          48       2  0 17:04 ?        00:00:00 [cpuhp/1]
root          49       2  0 17:04 ?        00:00:00 [idle_inject/1]
root          50       2  0 17:04 ?        00:00:00 [migration/1]
root          51       2  0 17:04 ?        00:00:00 [ksoftirqd/1]
root          53       2  0 17:04 ?        00:00:00 [kworker/1:0H-events_highpri
root          54       2  0 17:04 ?        00:00:00 [cpuhp/3]
root          55       2  0 17:04 ?        00:00:00 [idle_inject/3]
root          56       2  0 17:04 ?        00:00:00 [migration/3]
root          57       2  0 17:04 ?        00:00:00 [ksoftirqd/3]
root          59       2  0 17:04 ?        00:00:00 [kworker/3:0H-events_highpri
root          60       2  0 17:04 ?        00:00:00 [cpuhp/5]
root          61       2  0 17:04 ?        00:00:00 [idle_inject/5]
root          62       2  0 17:04 ?        00:00:00 [migration/5]
root          63       2  0 17:04 ?        00:00:00 [ksoftirqd/5]
root          64       2  0 17:04 ?        00:00:00 [kworker/5:0-mm_percpu_wq]
root          65       2  0 17:04 ?        00:00:00 [kworker/5:0H-events_highpri
root          66       2  0 17:04 ?        00:00:00 [cpuhp/7]
root          67       2  0 17:04 ?        00:00:00 [idle_inject/7]
root          68       2  0 17:04 ?        00:00:00 [migration/7]
root          69       2  0 17:04 ?        00:00:00 [ksoftirqd/7]
root          71       2  0 17:04 ?        00:00:00 [kworker/7:0H-events_highpri
root          72       2  0 17:04 ?        00:00:00 [cpuhp/9]
root          73       2  0 17:04 ?        00:00:00 [idle_inject/9]
root          74       2  0 17:04 ?        00:00:00 [migration/9]
root          75       2  0 17:04 ?        00:00:00 [ksoftirqd/9]
root          76       2  0 17:04 ?        00:00:00 [kworker/9:0-events]
root          77       2  0 17:04 ?        00:00:00 [kworker/9:0H-events_highpri
root          86       2  0 17:04 ?        00:00:00 [kdevtmpfs]
root          87       2  0 17:04 ?        00:00:00 [kworker/R-inet_]
root          88       2  0 17:04 ?        00:00:00 [kauditd]
root          89       2  0 17:04 ?        00:00:00 [khungtaskd]
root          90       2  0 17:04 ?        00:00:00 [oom_reaper]
root          91       2  0 17:04 ?        00:00:00 [kworker/R-write]
root          92       2  0 17:04 ?        00:00:00 [kcompactd0]
root          93       2  0 17:04 ?        00:00:00 [ksmd]
